Comunidades;Provincias;Periodo;Total
Galicia;Ourense;2015;10,189
Galicia;Pontevedra;2023;14,137
Galicia;Pontevedra;2022;13,170
Galicia;Pontevedra;2021;12,425
Galicia;Pontevedra;2020;11,881
Galicia;Pontevedra;2019;11,726
Galicia;Pontevedra;2018;11,220
Galicia;Pontevedra;2017;10,726
Galicia;Pontevedra;2016;10,353
Galicia;Pontevedra;2015;10,153
Comunidad de Madrid;Madrid;2023;18,142
Comunidad de Madrid;Madrid;2022;17,131
Comunidad de Madrid;Madrid;2021;16,146
Comunidad de Madrid;Madrid;2020;15,579
Comunidad de Madrid;Madrid;2019;15,520
Comunidad de Madrid;Madrid;2018;15,153
Comunidad de Madrid;Madrid;2017;14,461
Comunidad de Madrid;Madrid;2016;14,104
Comunidad de Madrid;Madrid;2015;13,779
Región de Murcia;Murcia;2023;12,446
Región de Murcia;Murcia;2022;11,599
Región de Murcia;Murcia;2021;11,023
Región de Murcia;Murcia;2020;10,574
Región de Murcia;Murcia;2019;10,422
Región de Murcia;Murcia;2018;9,948
Región de Murcia;Murcia;2017;9,518
Región de Murcia;Murcia;2016;9,124
Región de Murcia;Murcia;2015;8,908
Comunidad Foral de Navarra;Navarra;2023;16,423
Comunidad Foral de Navarra;Navarra;2022;15,681
Comunidad Foral de Navarra;Navarra;2021;14,718
Comunidad Foral de Navarra;Navarra;2020;14,227
País Vasco;Araba/Álava;2023;17,806
País Vasco;Araba/Álava;2022;16,403
País Vasco;Araba/Álava;2021;15,539
País Vasco;Araba/Álava;2020;14,962
País Vasco;Bizkaia;2023;18,738
País Vasco;Bizkaia;2022;17,225
País Vasco;Bizkaia;2021;16,192
País Vasco;Bizkaia;2020;15,555
País Vasco;Bizkaia;2019;15,547
País Vasco;Bizkaia;2018;15,047
País Vasco;Bizkaia;2017;14,605
País Vasco;Bizkaia;2016;14,216
País Vasco;Bizkaia;2015;13,949
País Vasco;Gipuzkoa;2023;19,616
País Vasco;Gipuzkoa;2022;18,325
País Vasco;Gipuzkoa;2021;16,887
País Vasco;Gipuzkoa;2020;16,399
País Vasco;Gipuzkoa;2019;16,463
País Vasco;Gipuzkoa;2018;15,891
País Vasco;Gipuzkoa;2017;15,372
País Vasco;Gipuzkoa;2016;15,090
La Rioja;La Rioja;2023;14,827
La Rioja;La Rioja;2022;13,864
La Rioja;La Rioja;2021;13,215
La Rioja;La Rioja;2020;12,738
La Rioja;La Rioja;2019;12,930
La Rioja;La Rioja;2018;12,460
La Rioja;La Rioja;2017;11,914
La Rioja;La Rioja;2016;11,536
La Rioja;La Rioja;2015;11,191
Ceuta;Ceuta;2023;14,625
Ceuta;Ceuta;2022;13,673
Ceuta;Ceuta;2021;13,030
Ceuta;Ceuta;2020;12,358
Ceuta;Ceuta;2019;12,038
Ceuta;Ceuta;2018;11,448
Ceuta;Ceuta;2017;10,767
Ceuta;Ceuta;2016;10,696
Ceuta;Ceuta;2015;10,696
Melilla;Melilla;2023;13,995
Melilla;Melilla;2022;13,140
Melilla;Melilla;2021;12,506
Melilla;Melilla;2020;11,665
Melilla;Melilla;2019;11,463
Melilla;Melilla;2018;10,925
Melilla;Melilla;2017;10,314
Melilla;Melilla;2016;10,176
Melilla;Melilla;2015;9,961
