ccaa;provincia;anio;renta_neta_anual;is_projection;renta_mensual_neta
Extremadura;Badajoz;2018;9417;False;784.75
Extremadura;Badajoz;2019;9895;False;824.5833
Extremadura;Badajoz;2020;10001;False;833.4167
Extremadura;Badajoz;2021;10549;False;879.0833
Extremadura;Badajoz;2022;11158;False;929.8333
Extremadura;Badajoz;2023;12068;False;1005.6667
Extremadura;Badajoz;2024;12848.723;True;1070.7269
Extremadura;Badajoz;2025;13679.9537;True;1139.9961
Extremadura;Cáceres;2015;9081;False;756.75
Extremadura;Cáceres;2016;9247;False;770.5833
Extremadura;Cáceres;2017;9544;False;795.3333
Extremadura;Cáceres;2018;10009;False;834.0833
Extremadura;Cáceres;2019;10537;False;878.0833
Extremadura;Cáceres;2020;10660;False;888.3333
Extremadura;Cáceres;2021;11238;False;936.5
Extremadura;Cáceres;2022;11786;False;982.1667
Extremadura;Cáceres;2023;12771;False;1064.25
Extremadura;Cáceres;2024;13565.1784;True;1130.4315
Extremadura;Cáceres;2025;14408.7437;True;1200.7286
Galicia;A Coruña;2015;11024;False;918.6667
Galicia;A Coruña;2016;11383;False;948.5833
Galicia;A Coruña;2017;11706;False;975.5
Galicia;A Coruña;2018;12207;False;1017.25
Galicia;A Coruña;2019;12764;False;1063.6667
Galicia;A Coruña;2020;12841;False;1070.0833
Galicia;A Coruña;2021;13319;False;1109.9167
Galicia;A Coruña;2022;14294;False;1191.1667
Galicia;A Coruña;2023;15319;False;1276.5833
Galicia;A Coruña;2024;16249.0503;True;1354.0875
Galicia;A Coruña;2025;17235.566;True;1436.2972
Galicia;Lugo;2015;10283;False;856.9167
Galicia;Lugo;2016;10541;False;878.4167
Galicia;Lugo;2017;10878;False;906.5
Galicia;Lugo;2018;11335;False;944.5833
Galicia;Lugo;2019;11856;False;988
Galicia;Lugo;2020;12021;False;1001.75
Galicia;Lugo;2021;12560;False;1046.6667
Galicia;Lugo;2022;13362;False;1113.5
Galicia;Lugo;2023;14316;False;1193
Galicia;Lugo;2024;15175.3809;True;1264.6151
Galicia;Lugo;2025;16086.3499;True;1340.5292
Galicia;Ourense;2015;10189;False;849.0833
Galicia;Ourense;2016;10415;False;867.9167
Galicia;Ourense;2017;10729;False;894.0833
Galicia;Ourense;2018;11230;False;935.8333
Galicia;Ourense;2019;11729;False;977.4167
Galicia;Ourense;2020;11937;False;994.75
Galicia;Ourense;2021;12365;False;1030.4167
Galicia;Ourense;2022;13043;False;1086.9167
Galicia;Ourense;2023;14049;False;1170.75
Galicia;Ourense;2024;14834.8851;True;1236.2404
Galicia;Ourense;2025;15664.7317;True;1305.3943
Galicia;Pontevedra;2015;10153;False;846.0833
Galicia;Pontevedra;2016;10353;False;862.75
Galicia;Pontevedra;2017;10726;False;893.8333
Galicia;Pontevedra;2018;11220;False;935
Galicia;Pontevedra;2019;11726;False;977.1667
Galicia;Pontevedra;2020;11881;False;990.0833
Galicia;Pontevedra;2021;12425;False;1035.4167
Galicia;Pontevedra;2022;13170;False;1097.5
Galicia;Pontevedra;2023;14137;False;1178.0833
Galicia;Pontevedra;2024;14981.3163;True;1248.443
Galicia;Pontevedra;2025;15876.0584;True;1323.0049
La Rioja;La Rioja;2015;11191;False;932.5833
La Rioja;La Rioja;2016;11536;False;961.3333
La Rioja;La Rioja;2017;11914;False;992.8333
La Rioja;La Rioja;2018;12460;False;1038.3333
La Rioja;La Rioja;2019;12930;False;1077.5
La Rioja;La Rioja;2020;12738;False;1061.5
La Rioja;La Rioja;2021;13215;False;1101.25
La Rioja;La Rioja;2022;13864;False;1155.3333
La Rioja;La Rioja;2023;14827;False;1235.5833
La Rioja;La Rioja;2024;15598.0946;True;1299.8412
La Rioja;La Rioja;2025;16409.2909;True;1367.4409
Melilla;Melilla;2015;9961;False;830.0833
Melilla;Melilla;2016;10176;False;848
Melilla;Melilla;2017;10314;False;859.5
Melilla;Melilla;2018;10925;False;910.4167
Melilla;Melilla;2019;11463;False;955.25
Melilla;Melilla;2020;11665;False;972.0833
Melilla;Melilla;2021;12506;False;1042.1667
Melilla;Melilla;2022;13140;False;1095
Melilla;Melilla;2023;13995;False;1166.25
Melilla;Melilla;2024;14871.3677;True;1239.2806
Melilla;Melilla;2025;15802.6136;True;1316.8845
Euskadi;Álava;2020;14962;False;1246.8333
Euskadi;Álava;2021;15539;False;1294.9167
Euskadi;Álava;2022;16403;False;1366.9167
Euskadi;Álava;2023;17806;False;1483.8333
Euskadi;Álava;2024;18872.5766;True;1572.7147
Euskadi;Álava;2025;20003.041;True;1666.9201
Euskadi;Vizcaya;2015;13949;False;1162.4167
Euskadi;Vizcaya;2016;14216;False;1184.6667
